[[ 5 -1  1 -1]
 [ 2 -1 -1  0]
 [ 3  1 -1  0]
 [ 4  2 -1  0]
 [-1  3 -1  0]
 [ 8  0  6 -1]
 [ 7 -1 -1  5]
 [-1  6 -1  5]
 [11  5  9 -1]
 [10 -1 -1  8]
 [-1  9 -1  8]
 [15  8 12 -1]
 [13 -1 -1 11]
 [14 12 -1 11]
 [-1 13 -1 11]
 [21 11 16 -1]
 [17 -1 -1 15]
 [18 16 -1 15]
 [19 17 -1 15]
 [20 18 -1 15]
 [-1 19 -1 15]
 [27 15 22 -1]
 [23 -1 -1 21]
 [24 22 -1 21]
 [25 23 -1 21]
 [26 24 -1 21]
 [-1 25 -1 21]
 [28 21 -1 -1]
 [30 27 29 -1]
 [-1 -1 -1 28]
 [43 28 31 -1]
 [32 -1 -1 30]
 [33 31 -1 30]
 [34 32 -1 30]
 [35 33 -1 30]
 [36 34 -1 30]
 [37 35 -1 30]
 [38 36 -1 30]
 [39 37 -1 30]
 [40 38 -1 30]
 [41 39 -1 30]
 [42 40 -1 30]
 [-1 41 -1 30]
 [50 30 44 -1]
 [45 -1 -1 43]
 [46 44 -1 43]
 [47 45 -1 43]
 [48 46 -1 43]
 [49 47 -1 43]
 [-1 48 -1 43]
 [51 43 -1 -1]
 [60 50 52 -1]
 [53 -1 -1 51]
 [54 52 -1 51]
 [55 53 -1 51]
 [56 54 -1 51]
 [57 55 -1 51]
 [58 56 -1 51]
 [59 57 -1 51]
 [-1 58 -1 51]
 [61 51 -1 -1]
 [-1 60 -1 -1]]
